X,Y,id,left,top,right,bottom,row_index,col_index,fid,VILLCODE,COUNTYNAME,TOWNNAME,VILLNAME,VILLENG,COUNTYID,COUNTYCODE,TOWNID,TOWNCODE,NOTE
120.265102615577,23.0085707049555,159994,174089.953453789,2545921.02934436,175244.653992168,2544921.02934436,385,284,455,"67000310014",臺南市,永康區,西灣里,Xiwan Vil.,D,"67000",D39,"67000310",
120.256630035881,23.0130462519094,159431,173223.928050005,2546421.02934436,174378.628588384,2545421.02934436,384,283,455,"67000310014",臺南市,永康區,西灣里,Xiwan Vil.,D,"67000",D39,"67000310",
120.239835008234,22.9949061482203,158309,171491.877242436,2544421.02934436,172646.577780815,2543421.02934436,386,281,457,"67000310019",臺南市,永康區,復興里,Fuxing Vil.,D,"67000",D39,"67000310",
120.248206950642,23.0084913873518,158870,172357.90264622,2545921.02934436,173512.603184599,2544921.02934436,385,282,459,"67000310020",臺南市,永康區,復國里,Fuguo Vil.,D,"67000",D39,"67000310",
120.239733846434,23.0129660155645,158307,171491.877242436,2546421.02934436,172646.577780815,2545421.02934436,384,281,460,"67000310032",臺南市,永康區,三合里,Sanhe Vil.,D,"67000",D39,"67000310",
120.248156906441,23.0175213282346,158869,172357.90264622,2546921.02934436,173512.603184599,2545921.02934436,384,282,461,"67000310037",臺南市,永康區,復華里,Fuhua Vil.,D,"67000",D39,"67000310",
120.189423653514,22.9233959463693,154945,166295.724819729,2536421.02934436,167450.425358108,2535421.02934436,394,275,463,"67000330019",臺南市,南區,同安里,Tong'an Vil.,D,"67000",D02,"67000330",
120.189530458815,22.9314457468772,154944,166295.724819729,2537421.02934436,167450.425358108,2536421.02934436,393,275,464,"67000330018",臺南市,南區,興農里,Xingnong Vil.,D,"67000",D02,"67000330",
120.231362504209,22.9993803514245,157747,170625.851838651,2544921.02934436,171780.55237703,2543921.02934436,386,280,465,"67000340004",臺南市,北區,東興里,Dongxing Vil.,D,"67000",D04,"67000340",
120.19752041673,23.0082426199477,155498,167161.750223513,2545921.02934436,168316.450761893,2544921.02934436,385,276,469,"67000340041",臺南市,北區,文成里,Wencheng Vil.,D,"67000",D04,"67000340",
